Date,Value,Emotion
24-11-2021,42,Fear
23-11-2021,33,Fear
22-11-2021,50,Neutral
21-11-2021,49,Neutral
20-11-2021,43,Fear
19-11-2021,34,Fear
18-11-2021,54,Neutral
17-11-2021,52,Neutral
16-11-2021,71,Greed
15-11-2021,72,Greed
14-11-2021,74,Greed
13-11-2021,72,Greed
12-11-2021,74,Greed
11-11-2021,77,Extreme Greed
10-11-2021,75,Greed
09-11-2021,84,Extreme Greed
08-11-2021,75,Greed
07-11-2021,73,Greed
06-11-2021,71,Greed
05-11-2021,73,Greed
04-11-2021,73,Greed
03-11-2021,76,Extreme Greed
02-11-2021,73,Greed
01-11-2021,74,Greed
31-10-2021,74,Greed
30-10-2021,73,Greed
29-10-2021,70,Greed
28-10-2021,66,Greed
27-10-2021,73,Greed
26-10-2021,76,Extreme Greed
